Date Created,Tweets
2023-04-26 14:38:32+00:00,"Einschränkung Zürich Selnau - Zürich Giesshübel: 26.04.2023 16:26 - 18:00

Der Bahnverkehr auf der Strecke Zürich HB SZU - Langnau-Gattikon ist zwischen Zürich Selnau und Zürich Giesshübel eingeschränkt.
Grund dafür ist ein Zug, der die Strecke… https://t.co/m45GnCuihw"
2023-04-25 18:57:34+00:00,"Aufgehoben: Unterbruch Freiburg (Breisgau) Hbf - Offenburg: 25.04.2023 18:11 - 21:11

Der Unterbruch des Bahnverkehrs auf der Strecke Basel SBB - Karlsruhe Hbf zwischen Freiburg (Breisgau) Hbf und Offenburg ist aufgehoben.
Es ist noch mit Verspätungen zu… https://t.co/g5PXbnarGK"
2023-04-25 16:22:32+00:00,"Unterbruch Freiburg (Breisgau) Hbf - Offenburg: 25.04.2023 18:11 - 21:11

Der Bahnverkehr auf der Strecke Basel SBB - Karlsruhe Hbf ist zwischen Freiburg (Breisgau) Hbf und Offenburg unterbrochen.
Die Einschränkung dauert bis 25.04.2023, ca. 21:00.… https://t.co/04gLvmMewD"
2023-04-25 16:16:04+00:00,"Unterbruch Freiburg (Breisgau) Hbf - Offenburg: 25.04.2023 18:11 - 21:11

Der Bahnverkehr auf der Strecke Basel SBB - Karlsruhe Hbf ist zwischen Freiburg (Breisgau) Hbf und Offenburg unterbrochen.
Die Dauer der Einschränkung ist unbestimmt.
Betroffen… https://t.co/VhRYEs9h1b"
2023-04-25 09:32:32+00:00,"Aufgehoben: Unterbruch Lindau-Reutin - München Hbf: 25.04.2023 08:29 - 11:07

Der Unterbruch des Bahnverkehrs auf der Strecke Zürich HB - München Hbf zwischen Lindau-Reutin und München Hbf ist aufgehoben.
Die Züge verkehren wieder nach Fahrplan. https://t.co/QX23Y6cxdT"
2023-04-25 06:42:02+00:00,"Unterbruch Lindau-Reutin - München Hbf: 25.04.2023 08:29 - 12:00

Der Bahnverkehr auf der Strecke Zürich HB - München Hbf ist zwischen Lindau-Reutin und München Hbf unterbrochen.
Die Dauer der Einschränkung ist unbestimmt.
Betroffen ist die Linie EC.
Es… https://t.co/5eJLYrTT9R"
2023-04-24 12:46:06+00:00,"Aufgehoben: Einschränkung Kaiseraugst - Möhlin: 24.04.2023 12:00 - 12:46

Die Einschränkung des Bahnverkehrs auf der Strecke Basel SBB - Brugg AG zwischen Kaiseraugst und Möhlin ist aufgehoben.
Die Züge verkehren wieder nach Fahrplan. https://t.co/C1ZhFmvBrc"
2023-04-24 12:25:02+00:00,"Aufgehoben: Einschränkung Mägenwil - Mellingen Heitersberg: 24.04.2023 12:57 - 14:19

Die Einschränkung des Bahnverkehrs auf der Strecke Lenzburg - Zürich HB zwischen Mägenwil und Mellingen Heitersberg ist aufgehoben.
Es ist noch mit Verspätungen und… https://t.co/XYoexV54UO"
2023-04-24 12:02:33+00:00,"Aufgehoben: Einschränkung Mägenwil - Mellingen Heitersberg: 24.04.2023 12:57 - 15:57

Die Einschränkung des Bahnverkehrs auf der Strecke Lenzburg - Zürich HB zwischen Mägenwil und Mellingen Heitersberg ist aufgehoben.
Es ist noch mit Verspätungen und… https://t.co/Il7tuk8ZZL"
2023-04-24 11:40:33+00:00,"Einschränkung Mägenwil - Mellingen Heitersberg: 24.04.2023 12:57 - 15:57

Der Bahnverkehr auf der Strecke Lenzburg - Zürich HB ist zwischen Mägenwil und Mellingen Heitersberg eingeschränkt.
Grund dafür ist eine technische Störung an der Bahnanlage.
Die… https://t.co/gjZpzz8JEU"
2023-04-24 11:34:02+00:00,"Einschränkung Mägenwil - Mellingen Heitersberg: 24.04.2023 12:57 - 15:57

Der Bahnverkehr auf der Strecke Lenzburg - Zürich HB ist zwischen Mägenwil und Mellingen Heitersberg eingeschränkt.
Grund dafür ist eine technische Störung an der Bahnanlage.
Die… https://t.co/jyIIproSmI"
2023-04-24 11:12:04+00:00,"Einschränkung Mägenwil - Mellingen Heitersberg: 24.04.2023 12:57 - 15:57

Der Bahnverkehr auf der Strecke Lenzburg - Zürich HB ist zwischen Mägenwil und Mellingen Heitersberg eingeschränkt.
Grund dafür ist eine technische Störung an der Bahnanlage.
Die… https://t.co/oEoRgLX6vS"
2023-04-24 10:49:33+00:00,"Einschränkung Kaiseraugst - Möhlin: 24.04.2023 12:00 - 15:00

Der Bahnverkehr auf der Strecke Basel SBB - Brugg AG ist zwischen Kaiseraugst und Möhlin eingeschränkt.
Die Einschränkung dauert bis 24.04.2023, ca. 14:00.
Es ist mit Verspätungen, Ausfällen… https://t.co/csqmHHcSQy"
2023-04-24 10:35:33+00:00,"Einschränkung Kaiseraugst - Möhlin: 24.04.2023 12:00 - 15:00

Der Bahnverkehr auf der Strecke Basel SBB - Brugg AG ist zwischen Kaiseraugst und Möhlin eingeschränkt.
Die Dauer der Einschränkung ist unbestimmt.
Es ist mit Verspätungen, Ausfällen und… https://t.co/ROkBDDhr9v"
2023-04-24 10:22:03+00:00,"Unterbruch Kaiseraugst - Möhlin: 24.04.2023 12:00 - 15:00

Der Bahnverkehr auf der Strecke Basel SBB - Brugg AG ist zwischen Kaiseraugst und Möhlin unterbrochen.
Die Dauer der Einschränkung ist unbestimmt.
Es ist mit Verspätungen, Ausfällen und… https://t.co/jzuAs8zY1K"
2023-04-24 10:14:02+00:00,"Unterbruch Kaiseraugst - Möhlin: 24.04.2023 12:00 - 15:00

Der Bahnverkehr auf der Strecke Basel SBB - Brugg AG ist zwischen Kaiseraugst und Möhlin unterbrochen.
Die Dauer der Einschränkung ist unbestimmt.
Es ist mit Verspätungen, Ausfällen und… https://t.co/jtMthRCzvo"
2023-04-23 16:45:02+00:00,"Aufgehoben: Einschränkung Delémont - Laufen: 23.04.2023 18:14 - 18:33

Die Einschränkung des Bahnverkehrs auf der Strecke Delémont - Basel SBB zwischen Delémont und Laufen ist aufgehoben.
Es ist noch mit Verspätungen zu rechnen. https://t.co/TZ6eEdrxTr"
2023-04-23 16:29:32+00:00,"Einschränkung Delémont - Laufen: 23.04.2023 18:14 - 21:14

Der Bahnverkehr auf der Strecke Delémont - Basel SBB ist zwischen Delémont und Laufen eingeschränkt.
Grund dafür ist ein Gleisschaden.
Die Dauer der Einschränkung ist unbestimmt.
Betroffen sind… https://t.co/gG63mhBFrf"
2023-04-23 12:47:02+00:00,"Aufgehoben: Unterbruch Niederscherli - Mittelhäusern: 23.04.2023 14:08 - 14:44

Der Unterbruch des Bahnverkehrs auf der Strecke Bern - Schwarzenburg zwischen Niederscherli und Mittelhäusern ist aufgehoben.
Es ist noch mit Verspätungen zu rechnen. https://t.co/TpxszgjiCv"
2023-04-23 12:40:32+00:00,"Unterbruch Niederscherli - Mittelhäusern: 23.04.2023 14:08 - 15:00

Der Bahnverkehr auf der Strecke Bern - Schwarzenburg ist zwischen Niederscherli und Mittelhäusern unterbrochen.
Grund dafür ist eine technische Störung an der Bahnanlage.
Die… https://t.co/GtH2uDXLUR"
2023-04-23 12:19:02+00:00,"Unterbruch Niederscherli - Mittelhäusern: 23.04.2023 14:08 - 17:08

Der Bahnverkehr auf der Strecke Bern - Schwarzenburg ist zwischen Niederscherli und Mittelhäusern unterbrochen.
Grund dafür ist eine technische Störung an der Bahnanlage.
Die Dauer der… https://t.co/xzAw5dHIhN"
2023-04-20 13:58:32+00:00,"Aufgehoben: Einschränkung Freiburg (Breisgau) Hbf - Offenburg: 20.04.2023 15:15 - 15:52

Die Einschränkung des Bahnverkehrs auf der Strecke Basel SBB - Offenburg zwischen Freiburg (Breisgau) Hbf und Offenburg ist aufgehoben.
Es ist noch mit Verspätungen… https://t.co/BqVE0hwkry"
2023-04-20 13:28:33+00:00,"Einschränkung Freiburg (Breisgau) Hbf - Offenburg: 20.04.2023 15:15 - 18:15

Der Bahnverkehr auf der Strecke Basel SBB - Offenburg ist zwischen Freiburg (Breisgau) Hbf und Offenburg eingeschränkt.
Grund dafür ist eine Betriebsstörung.
Die Dauer der… https://t.co/Mc4PdJrkc8"
2023-04-20 09:29:03+00:00,"Aufgehoben: Einschränkung Münchenbuchsee - Schüpfen: 20.04.2023 09:36 - 11:23

Die Einschränkung des Bahnverkehrs auf der Strecke Bern - Biel/Bienne zwischen Münchenbuchsee und Schüpfen ist aufgehoben.
Es ist noch mit Verspätungen und vereinzelten… https://t.co/WpauxGF4IK"
2023-04-20 09:21:33+00:00,"Aufgehoben: Einschränkung Münchenbuchsee - Schüpfen: 20.04.2023 09:36 - 11:36

Die Einschränkung des Bahnverkehrs auf der Strecke Bern - Biel/Bienne zwischen Münchenbuchsee und Schüpfen ist aufgehoben.
Es ist noch mit Verspätungen und vereinzelten… https://t.co/MTz3PcgXZa"
2023-04-20 08:59:03+00:00,"Einschränkung Münchenbuchsee - Schüpfen: 20.04.2023 09:36 - 11:36

Der Bahnverkehr auf der Strecke Bern - Biel/Bienne ist zwischen Münchenbuchsee und Schüpfen eingeschränkt.
Grund dafür ist ein Gleisschaden.
Die Einschränkung dauert bis ca. 11:30.… https://t.co/elyovUzcW0"
2023-04-20 07:52:08+00:00,"Einschränkung Münchenbuchsee - Schüpfen: 20.04.2023 09:36 - 11:36

Der Bahnverkehr auf der Strecke Bern - Biel/Bienne ist zwischen Münchenbuchsee und Schüpfen eingeschränkt.
Grund dafür ist ein Gleisschaden.
Betroffen ist die Linie S3.
Es ist mit… https://t.co/enSTlMqBWt"
2023-04-20 07:44:03+00:00,"Einschränkung Münchenbuchsee - Schüpfen: 20.04.2023 09:36 - 11:36

Der Bahnverkehr auf der Strecke Bern - Biel/Bienne ist zwischen Münchenbuchsee und Schüpfen eingeschränkt.
Grund dafür ist ein Gleisschaden.
Betroffen ist die Linie S3. https://t.co/U15d4hMfwg"
2023-04-19 11:44:33+00:00,"Aufgehoben: Unterbruch Köniz - Schwarzenburg: 19.04.2023 10:18 - 13:18

Der Unterbruch des Bahnverkehrs auf der Strecke Bern - Schwarzenburg zwischen Köniz und Schwarzenburg ist aufgehoben.
Die Züge verkehren wieder nach Fahrplan. https://t.co/AjEHEV6skO"
2023-04-19 11:07:10+00:00,"Aufgehoben: Einschränkung Zürich HB SZU - Zürich Saalsporthalle: 19.04.2023 12:34 - 13:05

Die Einschränkung des Bahnverkehrs auf der Strecke Zürich HB SZU - Langnau-Gattikon zwischen Zürich HB SZU und Zürich Saalsporthalle ist aufgehoben.
Die Züge… https://t.co/jEGYgHo8hk"
2023-04-19 10:52:03+00:00,"Einschränkung Zürich HB SZU - Zürich Saalsporthalle: 19.04.2023 12:34 - 15:00

Der Bahnverkehr auf der Strecke Zürich HB SZU - Langnau-Gattikon ist zwischen Zürich HB SZU und Zürich Saalsporthalle eingeschränkt.
Grund dafür ist eine technische Störung an… https://t.co/haJFF6AQz1"
2023-04-19 10:45:34+00:00,"Unterbruch Zürich HB SZU - Zürich Saalsporthalle: 19.04.2023 12:34 - 15:00

Der Bahnverkehr auf der Strecke Zürich HB SZU - Langnau-Gattikon ist zwischen Zürich HB SZU und Zürich Saalsporthalle unterbrochen.
Grund dafür ist eine technische Störung an der… https://t.co/aIoflBJg9J"
2023-04-19 09:40:02+00:00,"Unterbruch Köniz - Schwarzenburg: 19.04.2023 10:18 - 13:18

Der Bahnverkehr auf der Strecke Bern - Schwarzenburg ist zwischen Köniz und Schwarzenburg unterbrochen.
Grund dafür ist ein Vorfall mit einem Strassenfahrzeug.
Die Einschränkung dauert bis ca.… https://t.co/9GjPvci5Sw"
2023-04-19 08:54:32+00:00,"Unterbruch Köniz - Schwarzenburg: 19.04.2023 10:18 - 13:18

Der Bahnverkehr auf der Strecke Bern - Schwarzenburg ist zwischen Köniz und Schwarzenburg unterbrochen.
Grund dafür ist ein Vorfall mit einem Strassenfahrzeug.
Betroffen ist die Linie S6.
Es ist… https://t.co/vCm1YaZk1V"
2023-04-19 08:39:33+00:00,"Unterbruch Köniz - Schwarzenburg: 19.04.2023 10:18 - 13:18

Der Bahnverkehr auf der Strecke Bern - Schwarzenburg ist zwischen Köniz und Schwarzenburg unterbrochen.
Grund dafür ist ein Vorfall mit einem Strassenfahrzeug.
Betroffen ist die Linie S6.
Es ist… https://t.co/glPcgiVLAG"
2023-04-19 08:33:09+00:00,"Unterbruch Köniz - Schwarzenburg: 19.04.2023 10:18 - 13:18

Der Bahnverkehr auf der Strecke Bern - Schwarzenburg ist zwischen Köniz und Schwarzenburg unterbrochen.
Grund dafür ist ein Vorfall mit einem Strassenfahrzeug.
Betroffen ist die Linie S6.
Es ist… https://t.co/f9l3qpiYZS"
2023-04-19 08:24:33+00:00,"Unterbruch Köniz - Schwarzenburg: 19.04.2023 10:18 - 13:18

Der Bahnverkehr auf der Strecke Bern - Schwarzenburg ist zwischen Köniz und Schwarzenburg unterbrochen.
Grund dafür ist ein Vorfall mit einem Strassenfahrzeug.
Betroffen ist die Linie S6.
Es ist… https://t.co/06cTZSxqP6"
2023-04-19 08:24:32+00:00,"Aufgehoben: Einschränkung Bern - Romont FR: 19.04.2023 04:33 - 10:17

Die Einschränkung des Bahnverkehrs auf der Strecke Romont FR - Düdingen zwischen Bern und Romont FR ist aufgehoben.
Es ist noch mit Verspätungen zu rechnen. https://t.co/mMjlv1nMQT"
2023-04-19 08:02:03+00:00,"Aufgehoben: Einschränkung Bern - Romont FR: 19.04.2023 04:33 - 10:30

Die Einschränkung des Bahnverkehrs auf der Strecke Romont FR - Düdingen zwischen Bern und Romont FR ist aufgehoben.
Es ist noch mit Verspätungen zu rechnen. https://t.co/v8Jx7kDrs4"
2023-04-19 07:32:32+00:00,"Einschränkung Bern - Romont FR: 19.04.2023 04:33 - 10:30

Der Bahnverkehr auf der Strecke Romont FR - Düdingen ist zwischen Bern und Romont FR eingeschränkt.
Grund dafür sind ausserordentliche Bauarbeiten.
Die Einschränkung dauert bis ca. 10:00.… https://t.co/bWF0bBfKAT"
2023-04-19 03:42:32+00:00,"Aufgehoben: Unterbruch Gossau SG - Hauptwil: 19.04.2023 05:11 - 05:40

Der Unterbruch des Bahnverkehrs auf der Strecke St. Gallen - Weinfelden zwischen Gossau SG und Hauptwil ist aufgehoben.
Die Züge verkehren wieder nach Fahrplan. https://t.co/GO7kKzm2YS"
2023-04-19 03:35:03+00:00,"Unterbruch Gossau SG - Hauptwil: 19.04.2023 05:11 - 08:00

Der Bahnverkehr auf der Strecke St. Gallen - Weinfelden ist zwischen Gossau SG und Hauptwil unterbrochen.
Grund dafür sind ausserordentliche Bauarbeiten.
Die Einschränkung dauert bis 19.04.2023,… https://t.co/ZAQ5qpMs5K"
