Date Created,Tweets,Einschr_type,haltestellen,linien,von,bis
2023-04-25 09:32:32+00:00,"aufgehoben: unterbruch lindau-reutin - münchen hbf: 25.04.2023 08:29 - 11:07

der unterbruch des bahnverkehrs auf der strecke zürich hb - münchen hbf zwischen lindau-reutin und münchen hbf ist aufgehoben.
die züge verkehren wieder nach fahrplan. ",Aufgehoben:,zürich hb,EC,2023-04-25 08:29:00,2023-04-25 11:07:00
2023-04-24 12:46:06+00:00,"aufgehoben: einschränkung kaiseraugst - möhlin: 24.04.2023 12:00 - 12:46

die einschränkung des bahnverkehrs auf der strecke basel sbb - brugg ag zwischen kaiseraugst und möhlin ist aufgehoben.
die züge verkehren wieder nach fahrplan. ",Aufgehoben:,basel sbb,EC,2023-04-24 12:00:00,2023-04-24 12:46:00
2023-04-24 12:25:02+00:00,"aufgehoben: einschränkung mägenwil - mellingen heitersberg: 24.04.2023 12:57 - 14:19

die einschränkung des bahnverkehrs auf der strecke lenzburg - zürich hb zwischen mägenwil und mellingen heitersberg ist aufgehoben.
es ist noch mit verspätungen und… ",Aufgehoben:,zürich hb,EC,2023-04-24 12:57:00,2023-04-24 14:19:00
2023-04-23 16:45:02+00:00,"aufgehoben: einschränkung delémont - laufen: 23.04.2023 18:14 - 18:33

die einschränkung des bahnverkehrs auf der strecke delémont - basel sbb zwischen delémont und laufen ist aufgehoben.
es ist noch mit verspätungen zu rechnen. ",Aufgehoben:,basel sbb,EC,2023-04-23 18:14:00,2023-04-23 18:33:00
2023-04-23 12:47:02+00:00,"aufgehoben: unterbruch niederscherli - mittelhäusern: 23.04.2023 14:08 - 14:44

der unterbruch des bahnverkehrs auf der strecke bern - schwarzenburg zwischen niederscherli und mittelhäusern ist aufgehoben.
es ist noch mit verspätungen zu rechnen. ",Aufgehoben:,bern,EC,2023-04-23 14:08:00,2023-04-23 14:44:00
2023-04-20 13:58:32+00:00,"aufgehoben: einschränkung freiburg (breisgau) hbf - offenburg: 20.04.2023 15:15 - 15:52

die einschränkung des bahnverkehrs auf der strecke basel sbb - offenburg zwischen freiburg (breisgau) hbf und offenburg ist aufgehoben.
es ist noch mit verspätungen… ",Aufgehoben:,basel sbb,EC,2023-04-20 15:15:00,2023-04-20 15:52:00
2023-04-20 09:29:03+00:00,"aufgehoben: einschränkung münchenbuchsee - schüpfen: 20.04.2023 09:36 - 11:23

die einschränkung des bahnverkehrs auf der strecke bern - biel/bienne zwischen münchenbuchsee und schüpfen ist aufgehoben.
es ist noch mit verspätungen und vereinzelten… ",Aufgehoben:,bern,EC,2023-04-20 09:36:00,2023-04-20 11:23:00
2023-04-19 11:44:33+00:00,"aufgehoben: unterbruch köniz - schwarzenburg: 19.04.2023 10:18 - 13:18

der unterbruch des bahnverkehrs auf der strecke bern - schwarzenburg zwischen köniz und schwarzenburg ist aufgehoben.
die züge verkehren wieder nach fahrplan. ",Aufgehoben:,bern,EC,2023-04-19 10:18:00,2023-04-19 13:18:00
2023-04-19 11:07:10+00:00,"aufgehoben: einschränkung zürich hb szu - zürich saalsporthalle: 19.04.2023 12:34 - 13:05

die einschränkung des bahnverkehrs auf der strecke zürich hb szu - langnau-gattikon zwischen zürich hb szu und zürich saalsporthalle ist aufgehoben.
die züge… ",Aufgehoben:,zürich hb,EC,2023-04-19 12:34:00,2023-04-19 13:05:00
2023-04-19 03:42:32+00:00,"aufgehoben: unterbruch gossau sg - hauptwil: 19.04.2023 05:11 - 05:40

der unterbruch des bahnverkehrs auf der strecke st. gallen - weinfelden zwischen gossau sg und hauptwil ist aufgehoben.
die züge verkehren wieder nach fahrplan. ",Aufgehoben:,st. gallen,EC,2023-04-19 05:11:00,2023-04-19 05:40:00
2023-04-18 22:10:34+00:00,"einschränkung bern - olten: 18.04.2023 22:22 - 19.04.2023 01:00

der bahnverkehr zwischen bern und olten ist eingeschränkt.
grund dafür ist ein zug, der die strecke blockiert.
die einschränkung dauert bis 19.04.2023, ca. 00:35.
es ist mit verspätungen… ",Einschränkung,bern,EC,2023-04-18 22:22:00,2023-04-19 01:00:00
2023-04-18 22:10:34+00:00,"einschränkung bern - olten: 18.04.2023 22:22 - 19.04.2023 01:00

der bahnverkehr zwischen bern und olten ist eingeschränkt.
grund dafür ist ein zug, der die strecke blockiert.
die einschränkung dauert bis 19.04.2023, ca. 00:35.
es ist mit verspätungen… ",Einschränkung,olten,EC,2023-04-18 22:22:00,2023-04-19 01:00:00
2023-04-18 20:57:04+00:00,"einschränkung bern - olten: 18.04.2023 22:22 - 19.04.2023 01:00

der bahnverkehr zwischen bern und olten ist eingeschränkt.
grund dafür ist ein zug, der die strecke blockiert.
betroffen sind die linien ic1, ic6, ic8, ic61, ir15.
es ist mit verspätungen… ",Einschränkung,bern,IC1,2023-04-18 22:22:00,2023-04-19 01:00:00
2023-04-18 20:57:04+00:00,"einschränkung bern - olten: 18.04.2023 22:22 - 19.04.2023 01:00

der bahnverkehr zwischen bern und olten ist eingeschränkt.
grund dafür ist ein zug, der die strecke blockiert.
betroffen sind die linien ic1, ic6, ic8, ic61, ir15.
es ist mit verspätungen… ",Einschränkung,bern,IC6,2023-04-18 22:22:00,2023-04-19 01:00:00
2023-04-18 20:57:04+00:00,"einschränkung bern - olten: 18.04.2023 22:22 - 19.04.2023 01:00

der bahnverkehr zwischen bern und olten ist eingeschränkt.
grund dafür ist ein zug, der die strecke blockiert.
betroffen sind die linien ic1, ic6, ic8, ic61, ir15.
es ist mit verspätungen… ",Einschränkung,bern,IC8,2023-04-18 22:22:00,2023-04-19 01:00:00
2023-04-18 20:57:04+00:00,"einschränkung bern - olten: 18.04.2023 22:22 - 19.04.2023 01:00

der bahnverkehr zwischen bern und olten ist eingeschränkt.
grund dafür ist ein zug, der die strecke blockiert.
betroffen sind die linien ic1, ic6, ic8, ic61, ir15.
es ist mit verspätungen… ",Einschränkung,bern,IR15,2023-04-18 22:22:00,2023-04-19 01:00:00
2023-04-18 20:57:04+00:00,"einschränkung bern - olten: 18.04.2023 22:22 - 19.04.2023 01:00

der bahnverkehr zwischen bern und olten ist eingeschränkt.
grund dafür ist ein zug, der die strecke blockiert.
betroffen sind die linien ic1, ic6, ic8, ic61, ir15.
es ist mit verspätungen… ",Einschränkung,olten,IC1,2023-04-18 22:22:00,2023-04-19 01:00:00
2023-04-18 20:57:04+00:00,"einschränkung bern - olten: 18.04.2023 22:22 - 19.04.2023 01:00

der bahnverkehr zwischen bern und olten ist eingeschränkt.
grund dafür ist ein zug, der die strecke blockiert.
betroffen sind die linien ic1, ic6, ic8, ic61, ir15.
es ist mit verspätungen… ",Einschränkung,olten,IC6,2023-04-18 22:22:00,2023-04-19 01:00:00
